imageNumber,magnification,numberEyeCells,folliclesPerCell,eyeSocketShape,eyeCellMerging,wildType,depression,Cluster,imageName
76,5,-1,-1,1,8,0,-1,1,JAGUNAL_Knock_Down_Mod#312.tif
77,1,-1,-1,-1,-1,0,-1,3,JAGUNAL_Knock_Down_SEV#2_44.tif
78,1.5,6,7,8,9,0,10,0,JAGUNAL_Knock_Down_ML#1_35.tif
79,2.5,-1,-1,4,10,0,-1,1,KD_Wild_Type_3_10.tif
,,,,,,,,,KD_Wild_Type_1_01.tif
,,,,,,,,,JAGUNAL_Knock_Down_SEV#2_47.tif
,,,,,,,,,True_Wild_Type_6_06.tif
,,,,,,,,,JAGUNAL_Knock_Down_SEV#2_48.tif
,,,,,,,,,JAGUNAL_Knock_Down_SEV1_06.tif
,,,,,,,,,POL2_1_06.tif
,,,,,,,,,JAGUNAL_Knock_Down_POL1_04.tif
,,,,,,,,,JAGUNAL_Knock_Down_SEV1_07.tif
,,,,,,,,,JAGUNAL_Knock_Down_SEV#1_39.tif
,,,,,,,,,JAGUNAL_Knock_Down_EY2_05.tif
,,,,,,,,,JAGUNAL_Knock_Down_POL#3_26.tif
,,,,,,,,,JAGUNAL_Knock_Down_WT#1_31.tif
,,,,,,,,,JAGUNAL_Knock_Down_POL#2_21.tif
,,,,,,,,,KD_Wild_Type_1_02.tif
,,,,,,,,,JAGUNAL_Knock_Down_Mod#1_01.tif
,,,,,,,,,POL1_1_01.tif
,,,,,,,,,JAGUNAL_Knock_Down_EY#1_53.tif
,,,,,,,,,KD_Wild_Type_4_11.tif
,,,,,,,,,JAGUNAL_Knock_Down_POL#3_24.tif
,,,,,,,,,JAGUNAL_Knock_Down_EY#2_55.tif
,,,,,,,,,JAGUNAL_Knock_Down_EY#1_50.tif
,,,,,,,,,JAGUNAL_Knock_Down_EY#1_51.tif
,,,,,,,,,POL1_1_03.tif
,,,,,,,,,JAGUNAL_Knock_Down_WT#1_32.tif
,,,,,,,,,KD_Wild_Type_2_05.tif
,,,,,,,,,JAGUNAL_Knock_Down_Mod#1_03.tif
,,,,,,,,,JAGUNAL_Knock_Down_WT#1_30.tif
,,,,,,,,,KD_Wild_Type_4_12.tif
,,,,,,,,,JAGUNAL_Knock_Down_Mod#313.tif
,,,,,,,,,True_Wild_Type_2_02.tif
,,,,,,,,,KD_Wild_Type_2_06.tif
,,,,,,,,,JAGUNAL_Knock_Down_EY#1_52.tif
,,,,,,,,,JAGUNAL_Knock_Down_SEV#1_40.tif
,,,,,,,,,JAGUNAL_Knock_Down_EY#2_56.tif
,,,,,,,,,True_Wild_Type_5_05.tif
